t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
714192706399600,714194902784900,714194903362300,714194903362300,0,0
714194917615800,714195009762500,714195009892600,714195009892600,0,0
714195021900600,714195128351700,714195128412100,714195128412100,0,0
714195138440200,714195231169700,714195231230200,714195231230200,0,0
714195242878700,714195332266200,714195332325900,714195332325900,0,0
714195339353000,714195430683600,714195430742900,714195430742900,0,0
714195436836300,714195522863800,714195522923000,714195522923000,0,0
714195534132200,714195621718800,714195621778700,714195621778700,0,0
714195631774300,714195725453600,714195725512800,714195725512800,0,0
714195735835400,714195826123400,714195826182000,714195826182000,0,0
714195832519000,714195919218700,714195919278900,714195919278900,0,0
714195929849400,714196017260400,714196017328000,714196017328000,0,0
714196027605900,714196116023300,714196116088200,714196116088200,0,0
714196124717700,714196234655400,714196234715300,714196234715300,0,0
714196242832200,714196332180900,714196332241100,714196332241100,0,0
714196339435100,714196425186500,714196425246500,714196425246500,0,0
714196437213000,714196527930200,714196527987300,714196527987300,0,0
714196534194200,714196626949500,714196627009100,714196627009100,0,0
714196638165300,714196729261500,714196729331500,714196729331500,0,0
714196735969100,714196824307900,714196824367500,714196824367500,0,0
714196832941900,714196922646100,714196922706700,714196922706700,0,0
714196931221500,714197020548300,714197020615800,714197020615800,0,0
714197029178100,714197121780500,714197121840500,714197121840500,0,0
714197131843700,714197219235000,714197219292800,714197219292800,0,0
714197228445100,714197346690700,714197346764900,714197346764900,0,0
714197353073900,714197441121900,714197441178800,714197441178800,0,0
714197451941300,714197550263300,714197550322500,714197550322500,0,0
714197561445900,714197653877800,714197653945200,714197653945200,0,0
714197666708700,714197754645600,714197754703200,714197754703200,0,0
714197763569500,714197854147600,714197854207200,714197854207200,0,0
714197860803000,714197945777900,714197945838000,714197945838000,0,0
714197957874600,714198046545000,714198046604300,714198046604300,0,0
714198054381800,714198138454700,714198138513200,714198138513200,0,0
714198144585300,714198229069800,714198229129000,714198229129000,0,0
714198235172500,714198322362800,714198322422700,714198322422700,0,0
714198332810100,714198417842900,714198417902800,714198417902800,0,0
714198429549500,714198516949700,714198517009300,714198517009300,0,0
714198527088700,714198614027600,714198614088700,714198614088700,0,0
714198624032100,714198709730700,714198709789200,714198709789200,0,0
714198721771100,714198807300600,714198807359300,714198807359300,0,0
714198821224800,714198908528700,714198908589300,714198908589300,0,0
714198916103000,714199006653200,714199006711900,714199006711900,0,0
714199014237100,714199107047900,714199107128500,714199107128500,0,0
714199117828100,714199205233200,714199205302600,714199205302600,0,0
714199214491500,714199299266100,714199299325100,714199299325100,0,0
714199311321200,714199396082500,714199396141400,714199396141400,0,0
714199409401100,714199494049000,714199494127100,714199494127100,0,0
714199505905900,714199594336200,714199594402800,714199594402800,0,0
714199603176700,714199688609900,714199688669400,714199688669400,0,0
714199701036100,714199786510900,714199786570500,714199786570500,0,0
714199797407900,714199882259800,714199882317800,714199882317800,0,0
714199895371200,714199980624700,714199980685400,714199980685400,0,0
714199994708300,714200095567400,714200095629600,714200095629600,0,0
714200106354100,714200205118100,714200205181200,714200205181200,0,0
714200215505800,714200299863600,714200299925400,714200299925400,0,0
714200311504700,714200395784300,714200395847500,714200395847500,0,0
714200401787000,714200484739000,714200484798200,714200484798200,0,0
714200491986600,714200573936900,714200573997500,714200573997500,0,0
714200582639300,714200669347900,714200669406700,714200669406700,0,0
714200679861700,714200768919100,714200768978800,714200768978800,0,0
714200777043700,714200862859300,714200862919600,714200862919600,0,0
714200874030900,714200960908800,714200960969500,714200960969500,0,0
714200971321100,714201057264400,714201057331500,714201057331500,0,0
714201068523400,714201153954800,714201154016200,714201154016200,0,0
714201165779200,714201249820800,714201249880000,714201249880000,0,0
714201256237700,714201339708300,714201339767000,714201339767000,0,0
714201346267600,714201431311600,714201431378300,714201431378300,0,0
714201443411800,714201530012600,714201530084500,714201530084500,0,0
714201540987000,714201625344900,714201625404400,714201625404400,0,0
714201638034700,714201722643600,714201722718300,714201722718300,0,0
714201734995000,714201819236400,714201819298500,714201819298500,0,0
714201825289700,714201911077000,714201911136600,714201911136600,0,0
714201922626200,714202007149600,714202007209400,714202007209400,0,0
