t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
321049247737300,321053597949300,321053598396100,321053598396100,0,0
321055395003200,321060468821100,321060469061200,321060469061200,0,0
321060491322100,321065557671500,321065557873900,321065557873900,0,0
321065580989200,321070612937000,321070613126200,321070613126200,0,0
321070630425300,321075711814400,321075712014800,321075712014800,0,0
321075734535900,321080808886300,321080809079500,321080809079500,0,0
321080824845500,321085887964700,321085888159500,321085888159500,0,0
321085908230500,321088542674000,321088542919900,321088542919900,0,0
321088558680000,321088662771700,321088662973000,321088662973000,0,0
321088672448000,321088782680400,321088782904700,321088782904700,0,0
321088798735000,321088902943400,321088903148000,321088903148000,0,0
321088928283200,321089039332900,321089039526900,321089039526900,0,0
321089067920500,321089182053900,321089182287900,321089182287900,0,0
321089207935600,321089335996200,321089336241500,321089336241500,0,0
321089360424900,321089484381400,321089484588900,321089484588900,0,0
321089504328400,321089624839200,321089625036900,321089625036900,0,0
321089644467700,321089737146000,321089737337400,321089737337400,0,0
321089747723000,321089849201800,321089849434200,321089849434200,0,0
321089872295900,321089977373900,321089977666900,321089977666900,0,0
321089997220000,321090105861900,321090106068300,321090106068300,0,0
321090129113300,321090233495200,321090233699800,321090233699800,0,0
321090254189700,321090359257900,321090359480900,321090359480900,0,0
321090379327600,321090485674500,321090485900400,321090485900400,0,0
321090498116800,321090597336100,321090597565700,321090597565700,0,0
321090608522900,321090709305400,321090709511900,321090709511900,0,0
321090733464300,321090837379900,321090837572400,321090837572400,0,0
321090858406500,321090963504500,321090963711500,321090963711500,0,0
321090983548400,321091095406300,321091095593400,321091095593400,0,0
321091108788600,321091205576000,321091205765300,321091205765300,0,0
321091219708300,321091316003300,321091316193900,321091316193900,0,0
321091330884200,321091427945100,321091428135900,321091428135900,0,0
321091455569100,321091553353100,321091553540700,321091553540700,0,0
321091580914900,321091681537800,321091681743500,321091681743500,0,0
321091705453800,321091809315400,321091809516200,321091809516200,0,0
321091823891900,321091919217400,321091919408400,321091919408400,0,0
321091935084200,321092029501600,321092029690100,321092029690100,0,0
321092039614400,321092139754300,321092139946000,321092139946000,0,0
321092163878900,321092267498300,321092267690200,321092267690200,0,0
321092288847900,321092393880000,321092394070700,321092394070700,0,0
321092413948600,321092521833900,321092522101400,321092522101400,0,0
