t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
711856512459200,711858712035500,711858712396700,711858712396700,0,0
711858754205800,711858844526000,711858844783700,711858844783700,0,0
711858864211300,711858953773700,711858953957300,711858953957300,0,0
711858968338000,711859058466900,711859058661100,711859058661100,0,0
711859078650800,711859165280200,711859165477400,711859165477400,0,0
711859189903300,711859276871300,711859277051100,711859277051100,0,0
711859300854100,711859387543200,711859387737700,711859387737700,0,0
711859412029600,711859498656500,711859498890400,711859498890400,0,0
711859523017700,711859609176600,711859609356900,711859609356900,0,0
711859621326600,711859708176500,711859708355800,711859708355800,0,0
711859731624100,711859819544800,711859819744800,711859819744800,0,0
711859842635500,711859930123800,711859930308600,711859930308600,0,0
711859946749300,711860033629900,711860033810100,711860033810100,0,0
711860057860600,711860144627100,711860144810400,711860144810400,0,0
711860169350100,711860255705600,711860255889000,711860255889000,0,0
711860280501300,711860367827000,711860368006600,711860368006600,0,0
711860391236900,711860478215300,711860478393100,711860478393100,0,0
711860502924300,711860594151800,711860594335600,711860594335600,0,0
711860613772700,711860708404500,711860708585700,711860708585700,0,0
711860717892200,711860806831100,711860807011900,711860807011900,0,0
711860828811900,711860919070800,711860919275400,711860919275400,0,0
711860943138100,711861037315100,711861037499200,711861037499200,0,0
711861053577600,711861142890800,711861143073100,711861143073100,0,0
711861162858700,711861250509100,711861250692100,711861250692100,0,0
711861266567300,711861354361100,711861354544300,711861354544300,0,0
711861377184800,711861465746800,711861466036000,711861466036000,0,0
711861488635600,711861576314600,711861576493400,711861576493400,0,0
711861600033600,711861687408900,711861687613700,711861687613700,0,0
711861703939000,711861792182700,711861792364500,711861792364500,0,0
711861864661700,711861959465200,711861959687600,711861959687600,0,0
711861974961000,711862066932200,711862067117300,711862067117300,0,0
711862085308800,711862173750300,711862173939900,711862173939900,0,0
711862196597500,711862282824700,711862283020200,711862283020200,0,0
711862307613500,711862393486400,711862393664400,711862393664400,0,0
711862412052400,711862499886500,711862500069200,711862500069200,0,0
711862522711000,711862609758700,711862609936700,711862609936700,0,0
711862634477400,711862725488100,711862725682200,711862725682200,0,0
711862745626800,711862830859100,711862831040200,711862831040200,0,0
711862856502500,711862956358400,711862956549400,711862956549400,0,0
711862982405400,711863069677300,711863069856900,711863069856900,0,0
711863092120400,711863178859500,711863179043500,711863179043500,0,0
711863189585900,711863277678500,711863277881000,711863277881000,0,0
711863300921600,711863387710000,711863387901800,711863387901800,0,0
711863411555000,711863499819800,711863500107800,711863500107800,0,0
711863522925100,711863609232900,711863609413100,711863609413100,0,0
711863634628100,711863736289500,711863736466300,711863736466300,0,0
711863758939900,711863844372100,711863844567800,711863844567800,0,0
711863870546000,711863960064700,711863960244000,711863960244000,0,0
711863981384900,711864068712900,711864068905300,711864068905300,0,0
711864094099700,711864182546200,711864182726100,711864182726100,0,0
711864206312800,711864292754800,711864292932800,711864292932800,0,0
711864308452200,711864390748200,711864390939500,711864390939500,0,0
711864404817200,711864490148600,711864490337000,711864490337000,0,0
711864516451700,711864600777000,711864600956700,711864600956700,0,0
711864626860400,711864714005500,711864714188100,711864714188100,0,0
711864738707500,711864836787400,711864836965300,711864836965300,0,0
711864849323000,711864935206800,711864935408500,711864935408500,0,0
711864960475500,711865046893400,711865047088700,711865047088700,0,0
711865064365400,711865156021800,711865156213700,711865156213700,0,0
711865175632400,711865261549200,711865261729200,711865261729200,0,0
711865273227400,711865360005900,711865360186600,711865360186600,0,0
711865385468400,711865478237500,711865478417800,711865478417800,0,0
711865497166700,711865589145200,711865589328900,711865589328900,0,0
711865607349700,711865696579200,711865696769600,711865696769600,0,0
711865717268700,711865802572000,711865802752500,711865802752500,0,0
711865828281700,711865918722000,711865918905400,711865918905400,0,0
711865939929500,711866036538400,711866036746400,711866036746400,0,0
711866057731900,711866144213200,711866144444900,711866144444900,0,0
711866155108900,711866239676100,711866239857000,711866239857000,0,0
711866252547700,711866336448400,711866336628400,711866336628400,0,0
711866356245800,711866438001300,711866438183700,711866438183700,0,0
711866453558100,711866538804300,711866538990300,711866538990300,0,0
711866564423100,711866648993400,711866649175100,711866649175100,0,0
711866675594000,711866765696900,711866765905600,711866765905600,0,0
711866786553700,711866870868700,711866871475500,711867277222200,1,0
711867286992100,711867382948400,711867383177700,711867383477400,0,0
711867397739900,711867482413000,711867482636600,711867482915400,0,0
711867494993200,711867582140500,711867582364100,711867582617600,0,0
711867599090600,711867700104500,711867700322700,711867700596700,0,0
711867710259600,711867794525500,711867794746000,711867795017200,0,0
711867807868300,711867893649300,711867893870800,711867894149100,0,0
711867918806000,711868004138700,711868004446100,711868004994200,0,0
711868023260100,711868118798000,711868119026300,711868119295800,0,0
711868133702600,711868219004300,711868219225200,711868219509700,0,0
711868245136400,711868329032600,711868329248200,711868329517600,0,0
711868356211100,711868453544800,711868453769100,711868454021300,0,0
711868467247200,711868552146400,711868552367300,711868552628100,0,0
711868571211900,711868656981300,711868657241100,711868657502500,0,0
711868668769300,711868752978200,711868753214700,711868753498800,0,0
711868780163800,711868865197300,711868865444800,711868865695500,0,0
711868883885800,711868972373500,711868972591400,711868972855600,0,0
711868995264500,711869081339000,711869081554900,711869081880600,0,0
711869106070700,711869192095400,711869192315000,711869192588400,0,0
711869217044800,711869301974700,711869302193300,711869302468800,0,0
711869321416500,711869404912400,711869405150300,711869405420700,0,0
711869418867900,711869504765300,711869505010700,711869505362800,0,0
711869530118700,711869617929500,711869618150400,711869618427700,0,0
711869641126700,711869725991600,711869726214900,711869726485800,0,0
711869745466700,711869830780900,711869831014600,711869831286700,0,0
711869856297900,711869940901900,711869941118100,711869941395800,0,0
711869967095000,711870051756300,711870051981000,711870052273700,0,0
711870078539300,711870164968400,711870165199400,711870165460800,0,0
711870182420900,711870266302200,711870266528700,711870266792800,0,0
711870280059000,711870363744800,711870363976600,711870364260200,0,0
711870384044700,711870468582200,711870468803400,711870469126800,0,0
711870495264600,711870579101000,711870579316100,711870579607600,0,0
711870599346500,711870683204200,711870683421400,711870683677900,0,0
711870696851500,711870781232400,711870781498200,711871186996500,1,0
711871211466000,711871296477400,711871296696600,711871296978300,0,0
711871321703400,711871420134800,711871420364200,711871824725600,1,0
711871837325100,711871924010700,711871924234300,711871925056800,0,0
711871948023700,711872032111500,711872032352200,711872032685500,0,0
711872057779600,711872149010000,711872149269000,711872149587200,0,0
711872169243500,711872264391000,711872264608800,711872264873600,0,0
711872279780300,711872364889500,711872365105600,711872365379800,0,0
