t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
48479090522600,48484495962800,48484512109500,48484512109500,0,0
48484544157100,48484670523400,48484670638700,48484670638700,0,0
48484704266800,48484829506800,48484829592100,48484829592100,0,0
48484876710600,48484986846300,48484986926000,48484986926000,0,0
48485003654200,48485133682300,48485133774200,48485133774200,0,0
48485168217900,48485270801200,48485270867800,48485270867800,0,0
48485286263700,48485407717500,48485407807300,48485407807300,0,0
48485417977200,48485535574900,48485535633700,48485535633700,0,0
48485551690000,48485657850000,48485657912100,48485657912100,0,0
48485690690800,48485804192200,48485804253300,48485804253300,0,0
48485815982500,48485920197800,48485920259800,48485920259800,0,0
48485954212400,48486068103500,48486068165700,48486068165700,0,0
48486101517400,48486214137500,48486214197900,48486214197900,0,0
48486223592400,48486326432900,48486326496700,48486326496700,0,0
48486342019500,48486438414700,48486438472800,48486438472800,0,0
48486455763200,48486585139400,48486585200000,48486585200000,0,0
48486601134500,48486705518300,48486705578600,48486705578600,0,0
48486746112800,48486870726100,48486870811200,48486870811200,0,0
48486897748200,48487014567000,48487014737700,48487014737700,0,0
48487058833300,48487188046300,48487188124500,48487188124500,0,0
48487203761100,48487314909200,48487314970000,48487314970000,0,0
48487342867600,48487461180000,48487461239100,48487461239100,0,0
48487494280800,48487603199900,48487603264200,48487603264200,0,0
48487620139000,48487731152100,48487731218700,48487731218700,0,0
48487745621900,48487867701300,48487867760500,48487867760500,0,0
48487883596700,48487991930000,48487991988500,48487991988500,0,0
48488031311300,48488139794400,48488139877200,48488139877200,0,0
48488154644700,48488259831900,48488259898900,48488259898900,0,0
48488272184800,48488372109100,48488372167900,48488372167900,0,0
48488385614400,48488490310000,48488490371000,48488490371000,0,0
48488523672000,48488637563000,48488637623200,48488637623200,0,0
48488675642400,48488806584300,48488806671500,48488806671500,0,0
48488820907800,48488925824600,48488925894300,48488925894300,0,0
48488938792900,48489042595400,48489042689900,48489042689900,0,0
48489057737200,48489172896800,48489172993600,48489172993600,0,0
48489204334700,48489309644600,48489309704900,48489309704900,0,0
48489321462200,48489448285500,48489448347300,48489448347300,0,0
48489473275100,48489596099200,48489596185300,48489596185300,0,0
48489614883400,48489724802000,48489724897200,48489724897200,0,0
48489738384600,48489866011800,48489866100200,48489866100200,0,0
48489897366600,48489998471500,48489998532500,48489998532500,0,0
48490024493600,48490175440400,48490175501000,48490175501000,0,0
48490190956300,48490299880100,48490299967300,48490299967300,0,0
48490328531500,48490464833000,48490464919400,48490464919400,0,0
48490494774000,48490593150700,48490593209300,48490593209300,0,0
48490607785500,48490705869700,48490705928400,48490705928400,0,0
48490738198600,48490861915500,48490861980100,48490861980100,0,0
48490878022000,48490971085600,48490971144300,48490971144300,0,0
48491010889200,48491163496700,48491163585300,48491163585300,0,0
48491175582000,48491293165200,48491293259900,48491293259900,0,0
48491306500000,48491404658000,48491404717500,48491404717500,0,0
48491420484300,48491519082600,48491519142900,48491519142900,0,0
48491529293700,48491655300000,48491655359800,48491655359800,0,0
48491670765500,48491800382600,48491800473000,48491800473000,0,0
48491817186100,48491958976400,48491959061800,48491959061800,0,0
48491982720300,48492104888200,48492104977900,48492104977900,0,0
48492120511600,48492239648800,48492239725200,48492239725200,0,0
48492253538700,48492352703100,48492352764100,48492352764100,0,0
48492362411300,48492464320600,48492464381200,48492464381200,0,0
48492476569000,48492615484200,48492615574100,48492615574100,0,0
48492629468500,48492749537300,48492749624400,48492749624400,0,0
48492766650500,48492902567700,48492902649400,48492902649400,0,0
48492933554900,48493055382500,48493055444000,48493055444000,0,0
48493091725800,48493201047100,48493201106200,48493201106200,0,0
48493218123600,48493322373400,48493322460100,48493322460100,0,0
48493356777500,48493453675800,48493453735800,48493453735800,0,0
48493475338400,48493594891600,48493594977200,48493594977200,0,0
48493627479900,48493733828400,48493733914700,48493733914700,0,0
48493744017500,48493859650700,48493859710400,48493859710400,0,0
48493871250400,48493970657600,48493970716500,48493970716500,0,0
48494001531900,48494113734200,48494113820300,48494113820300,0,0
48494129556800,48494248779800,48494248855700,48494248855700,0,0
48494260060900,48494395104100,48494395182300,48494395182300,0,0
48494425169900,48494521464600,48494521524100,48494521524100,0,0
48494538905500,48494650749800,48494650842600,48494650842600,0,0
48494667961400,48494774248600,48494774309600,48494774309600,0,0
48494788192900,48494894459100,48494894521800,48494894521800,0,0
48494925445700,48495076107900,48495076168800,48495076168800,0,0
48495092690200,48495200327800,48495200397700,48495200397700,0,0
48495218001300,48495311985800,48495312049700,48495312049700,0,0
48495348586700,48495466224500,48495466291500,48495466291500,0,0
48495480016900,48495586101600,48495586167100,48495586167100,0,0
48495598350900,48495706039200,48495706100000,48495706100000,0,0
48495716126900,48495819763700,48495819826900,48495819826900,0,0
48495827542900,48495985943200,48495986002100,48495986002100,0,0
48496185628000,48497304873900,48497304967500,48497304967500,0,0
48497349547900,48497467795100,48497467863500,48497467863500,0,0
48497490631400,48497635160100,48497635221100,48497635221100,0,0
