t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
48505549889100,48512860892200,48512860994900,48512860994900,0,0
48512908625600,48513114323500,48513114427900,48513114427900,0,0
48513127166800,48513293581000,48513293672600,48513293672600,0,0
48513309237000,48513503341400,48513503432500,48513503432500,0,0
48513533801600,48513709763000,48513709850700,48513709850700,0,0
48513722779200,48513852430800,48513852533600,48513852533600,0,0
48513870349100,48514059081700,48514059179300,48514059179300,0,0
48514072839700,48514267291000,48514267377600,48514267377600,0,0
48514279967000,48514433380000,48514433471600,48514433471600,0,0
48514453715400,48514599241900,48514599367600,48514599367600,0,0
48514620577200,48514807283700,48514807383500,48514807383500,0,0
48514821859000,48515000477900,48515000563400,48515000563400,0,0
48515028004900,48515195562700,48515195653200,48515195653200,0,0
48515211362700,48515343445000,48515343578100,48515343578100,0,1
48515356904000,48515509547500,48515509664300,48515509664300,0,1
48515537126600,48515688431800,48515688553700,48515688553700,0,1
48515705208100,48515862978000,48515863151600,48515863151600,0,1
48515877004800,48516056362100,48516056481500,48516056481500,0,1
48516077674300,48516237026900,48516237163500,48516237163500,0,1
48516255181200,48516425931600,48516426043300,48516426043300,0,1
48516445620400,48516606685000,48516606843500,48516606843500,0,1
48516620712000,48516796232700,48516796349400,48516796349400,0,1
48516814281200,48516966708300,48516966853000,48516966853000,0,1
48516981225800,48517142905600,48517143016300,48517143016300,0,1
48517163793600,48517313396900,48517313516900,48517313516900,0,1
48517329285900,48517499929400,48517500045600,48517500045600,0,1
48517522611900,48517693946600,48517694068800,48517694068800,0,1
48517711049200,48517864827900,48517864950600,48517864950600,0,1
48517885823100,48518062225800,48518062318400,48518062318400,0,1
48518086193500,48518253219400,48518253347900,48518253347900,0,1
48518265801900,48518397931100,48518398024600,48518398024600,0,1
48518411955000,48518559914800,48518560029000,48518560029000,0,1
48518580845700,48518709739300,48518709835700,48518709835700,0,1
48518725075400,48518878487800,48518882656800,48518882656800,0,1
48518900361400,48519014981300,48519015198900,48519015198900,0,1
48519038568100,48519195273700,48519195432300,48519195432300,0,1
48519210368300,48519376297000,48519376429100,48519376429100,0,1
48519391717300,48519567330500,48519567479200,48519567479200,0,1
48519586592500,48519755832700,48519755946600,48519755946600,0,1
48519767036400,48519920360500,48519920477500,48519920477500,0,1
48519939805000,48520119593800,48520119710100,48520119710100,0,1
48520141909700,48520300969900,48520301092100,48520301092100,0,1
48520322057700,48520485367900,48520485491600,48520485491600,0,1
48520504513800,48520655720500,48520655864500,48520655864500,0,1
48520675882800,48520845707600,48520845831300,48520845831300,0,1
48520864013200,48521024082900,48521024388700,48521024388700,0,1
48521046408600,48521202914400,48521203051400,48521203051400,0,1
48521217317400,48521386883400,48521387006300,48521387006300,0,1
48521406940600,48521600070000,48521600183800,48521600183800,0,1
48521613666700,48521785745600,48521785902400,48521785902400,0,1
48521803359400,48521953499700,48521953617400,48521953617400,0,1
48521968212100,48522132314100,48522132410700,48522132410700,0,1
48522149036500,48522311798300,48522311934600,48522311934600,0,1
48522335971700,48522494549200,48522494677800,48522494677800,0,1
48522516019400,48522680700900,48522680818300,48522680818300,0,1
48522704923200,48522863865800,48522863998100,48522863998100,0,1
48522878979300,48523044254600,48523044339200,48523044339200,0,1
48523058689000,48523220144600,48523220230100,48523220230100,0,1
48523234036800,48523374669500,48523374794500,48523374794500,0,1
48523391903000,48523540949000,48523541028900,48523541028900,0,1
48523559333900,48523703282600,48523703411600,48523703411600,0,1
48523719963500,48523871538400,48523871616400,48523871616400,0,1
48523883626900,48524042057400,48524042174900,48524042174900,0,1
48524057882500,48524196676000,48524196800400,48524196800400,0,1
48524210406000,48524376710400,48524376859800,48524376859800,0,1
48524400299200,48524555300800,48524555417100,48524555417100,0,1
48524577803500,48524741800500,48524741923100,48524741923100,0,1
48524761292400,48524926382600,48524926509000,48524926509000,0,1
48524946569400,48525130228700,48525130345400,48525130345400,0,1
48525156724700,48525322677000,48525322799300,48525322799300,0,1
48525335268700,48525489716700,48525489797600,48525489797600,0,1
48525516336700,48525694601700,48525694715900,48525694715900,0,1
48525711593500,48525909942800,48525910079500,48525910079500,0,1
48525929812500,48526100347800,48526100463400,48526100463400,0,1
48526116043900,48526272741000,48526272856100,48526272856100,0,1
48526293040500,48526467136000,48526467296300,48526467296300,0,1
48526488798000,48526633454100,48526633572900,48526633572900,0,1
48526651133400,48526829896200,48526830056700,48526830056700,0,1
48526848423600,48527006103800,48527006394200,48527006394200,0,1
48527042350200,48527195714400,48527195828300,48527195828300,0,1
48527212647900,48527367776700,48527367887800,48527367887800,0,1
48527384824500,48527548448400,48527548569000,48527548569000,0,1
48527558396000,48527710125500,48527710246800,48527710246800,0,1
48527725117400,48527903392400,48527903505700,48527903505700,0,1
48527919404500,48528098977700,48528099121600,48528099121600,0,1
48528113401700,48528249657700,48528249739000,48528249739000,0,1
48528267684800,48528415859900,48528415950100,48528415950100,0,1
48528439213600,48528584306100,48528584419800,48528584419800,0,1
48528600247000,48528732157600,48528732246900,48528732246900,0,1
48528745103700,48528885052200,48528885166300,48528885166300,0,1
48528905307800,48529046485500,48529046568600,48529046568600,0,1
48529072579000,48529246372400,48529246500700,48529246500700,0,1
48529265158500,48529417342900,48529417457000,48529417457000,0,1
48529433551200,48529593366300,48529593483400,48529593483400,0,1
48529613683500,48529779126100,48529779236100,48529779236100,0,1
48529803288300,48529949747000,48529949864700,48529949864700,0,1
48529974774100,48530158997100,48530159149500,48530159149500,0,1
48530175523300,48530358012500,48530358147600,48530358147600,0,1
48530379300400,48530531298500,48530531417400,48530531417400,0,1
48530543515200,48530700367200,48530700482900,48530700482900,0,1
48530725522700,48530875771200,48530875889400,48530875889400,0,1
48530890813100,48531045811800,48531045930200,48531045930200,0,1
48531065214900,48531233625400,48531233738600,48531233738600,0,1
48531252239500,48531413894500,48531414018800,48531414018800,0,1
48531432539000,48531581655100,48531581772000,48531581772000,0,1
48531607198700,48531758477900,48531758593000,48531758593000,0,1
48531775843600,48531952499400,48531952616000,48531952616000,0,1
48531968067100,48532142635300,48532142715400,48532142715400,0,1
48532161925400,48532327460800,48532327574300,48532327574300,0,1
48532342687300,48532511578400,48532511692600,48532511692600,0,1
48532523318000,48532683145300,48532683287500,48532683287500,0,1
48532703723800,48532866802000,48532866911200,48532866911200,0,1
48532884546200,48533053628000,48533053748600,48533053748600,0,1
48533078655300,48533244444200,48533244558400,48533244558400,0,1
48533264975100,48533396320600,48533396433000,48533396433000,0,1
48533412746000,48533564262700,48533564342700,48533564342700,0,1
48533579085000,48533709654600,48533709755700,48533709755700,0,1
48533724420500,48533881534700,48533881656600,48533881656600,0,1
48533903635000,48534054235900,48534054359100,48534054359100,0,1
48534078935000,48534238138300,48534238298000,48534238298000,0,1
48534252246800,48534422321200,48534422450300,48534422450300,0,1
48534447176600,48534617340700,48534617460200,48534617460200,0,1
48534641663400,48534807785000,48534807911100,48534807911100,0,1
48534821912000,48534981790700,48534981906500,48534981906500,0,1
48535011068400,48535184454300,48535184581500,48535184581500,0,1
48535195951200,48535338747700,48535338835100,48535338835100,0,1
48535349664000,48535518835800,48535518951800,48535518951800,0,1
48535537827300,48535699434600,48535699553700,48535699553700,0,1
48535717739300,48535902870000,48535903076600,48535903076600,0,1
48535926705500,48536084824000,48536084979100,48536084979100,0,1
48536099093900,48536239164400,48536239250400,48536239250400,0,1
48536252476700,48536413763600,48536413873700,48536413873700,0,1
48536424844100,48536590948400,48536591064500,48536591064500,0,1
48536616736100,48536774437600,48536774521500,48536774521500,0,1
48536793703900,48536948511100,48536948629600,48536948629600,0,1
48536969719100,48537124774700,48537124890200,48537124890200,0,1
48537141666400,48537301790800,48537301909800,48537301909800,0,1
48537322646600,48537465667400,48537465782600,48537465782600,0,1
48537483663800,48537644146700,48537644265200,48537644265200,0,1
48537669467400,48537821280700,48537821420700,48537821420700,0,1
48537836096400,48537989354300,48537989475200,48537989475200,0,1
48538017363700,48538173899700,48538173979600,48538173979600,0,1
48538190573700,48538360999600,48538361083200,48538361083200,0,1
48538385027200,48538538219100,48538538366900,48538538366900,0,1
48538557883900,48538687297300,48538687401800,48538687401800,0,1
48538712234800,48538876545800,48538876684500,48538876684500,0,1
48538900320500,48539034239800,48539034336600,48539034336600,0,1
48539051241800,48539200262000,48539200377300,48539200377300,0,1
48539224588800,48539358912100,48539359023900,48539359023900,0,1
48539377580800,48539560941300,48539561056800,48539561056800,0,1
48539579313600,48539736432200,48539736566700,48539736566700,0,1
48539758451200,48539914350700,48539914470900,48539914470900,0,1
48539933086300,48540120748400,48540120939600,48540120939600,0,1
48540141064200,48540298138400,48540298255200,48540298255200,0,1
48540325607700,48540489777700,48540489903800,48540489903800,0,1
48540508741600,48540671231200,48540671347900,48540671347900,0,1
48540690246500,48540860263200,48540860384500,48540860384500,0,1
48540876984800,48541042552800,48541042679600,48541042679600,0,1
48541058738900,48541211014300,48541211134600,48541211134600,0,1
48541231227500,48541403261800,48541403387800,48541403387800,0,1
48541421159800,48541586050600,48541586173400,48541586173400,0,1
48541599458200,48541762389700,48541762489500,48541762489500,0,1
48541787517600,48541952285900,48541952399200,48541952399200,0,1
48541969689100,48542123002000,48542123097100,48542123097100,0,1
48542139818300,48542309157800,48542309271300,48542309271300,0,1
48542327465000,48542505588700,48542505701200,48542505701200,0,1
48542525482500,48542684773400,48542684888900,48542684888900,0,1
48542704312000,48542858320200,48542858434300,48542858434300,0,1
48542877220400,48543037734500,48543037883500,48543037883500,0,1
48543058735300,48543218016000,48543218133200,48543218133200,0,1
48543231310400,48543413032300,48543413152400,48543413152400,0,1
48543433377200,48543563745300,48543563858300,48543563858300,0,1
48543578347200,48543714495900,48543714601000,48543714601000,0,1
48543733203700,48543899018400,48543899104500,48543899104500,0,1
48543917480500,48544057053800,48544057179800,48544057179800,0,1
48544072202800,48544221686400,48544221773200,48544221773200,0,1
48544237451700,48544403907700,48544404021500,48544404021500,0,1
48544419514200,48544568488300,48544568627200,48544568627200,0,1
48544587947500,48544754860200,48544754972800,48544754972800,0,1
48544772685500,48544932921100,48544933034900,48544933034900,0,1
48544953990500,48545113042700,48545113159200,48545113159200,0,1
48545136395500,48545310115100,48545310229900,48545310229900,0,1
48545327422200,48545488039400,48545488163700,48545488163700,0,1
48545502142600,48545654193600,48545654309100,48545654309100,0,1
48545676678300,48545851525100,48545851658200,48545851658200,0,1
48545869736200,48546033004800,48546033304300,48546033304300,0,1
48546068572700,48546229847300,48546229970000,48546229970000,0,1
48546252785000,48546432263300,48546432385100,48546432385100,0,1
48546447339600,48546602608700,48546602739400,48546602739400,0,1
48546623936500,48546785544300,48546785684000,48546785684000,0,1
48546807816000,48546958263300,48546958389600,48546958389600,0,1
48546981175600,48547152088900,48547152202500,48547152202500,0,1
48547169546000,48547326756400,48547326869600,48547326869600,0,1
48547344579000,48547513129900,48547513248600,48547513248600,0,1
48547537262400,48547693194200,48547693311900,48547693311900,0,1
48547710167500,48547879509500,48547879622500,48547879622500,0,1
48547898164800,48548048725600,48548048847400,48548048847400,0,1
48548065056000,48548233947300,48548234060400,48548234060400,0,1
48548252973000,48548407857100,48548407953200,48548407953200,0,1
48548428097000,48548600593100,48548600732700,48548600732700,0,1
48548619426400,48548770253400,48548770396100,48548770396100,0,1
48548789199300,48548952128400,48548952221300,48548952221300,0,1
48548966511600,48549114221300,48549114308100,48549114308100,0,1
48549127439500,48549266236100,48549266318200,48549266318200,0,1
48549281003600,48549430527100,48549430644300,48549430644300,0,1
48549453702600,48549581495600,48549581572500,48549581572500,0,1
48549601576500,48549754918000,48549755042200,48549755042200,0,1
48549773493900,48549945696800,48549945837000,48549945837000,0,1
48549960804500,48550146944400,48550147075600,48550147075600,0,1
48550161517300,48550334833400,48550334960600,48550334960600,0,1
48550355806200,48550516844700,48550516964100,48550516964100,0,1
48550528914400,48550685522600,48550685634300,48550685634300,0,1
48550710040600,48550862112300,48550862218200,48550862218200,0,1
48550885202500,48551052976600,48551053096700,48551053096700,0,1
48551080475500,48551238498200,48551238601000,48551238601000,0,1
48551251881700,48551398525400,48551398645800,48551398645800,0,1
48551411504900,48551574233100,48551574347900,48551574347900,0,1
48551594294800,48551769995700,48551770107800,48551770107800,0,1
48551793044900,48551961196700,48551961318300,48551961318300,0,1
48551976467700,48552156072500,48552156192700,48552156192700,0,1
48552171201200,48552346259300,48552346377300,48552346377300,0,1
48552365071600,48552527976500,48552528067300,48552528067300,0,1
48552545075900,48552714539700,48552714670600,48552714670600,0,1
48552738860700,48552885954100,48552886114400,48552886114400,0,1
48552904686000,48553071623500,48553071749000,48553071749000,0,1
48553092005400,48553268236300,48553268347800,48553268347800,0,1
48553286931700,48553454870800,48553455016400,48553455016400,0,1
48553475744400,48553637124300,48553637201800,48553637201800,0,1
48553655069900,48553815442600,48553815545800,48553815545800,0,1
48553827098600,48553969648400,48553969763700,48553969763700,0,1
48553981842100,48554119611900,48554119747600,48554119747600,0,1
48554132854100,48554266344000,48554266479200,48554266479200,0,1
48554278762100,48554401432400,48554401510200,48554401510200,0,1
48554419761500,48554574635000,48554574749700,48554574749700,0,1
48554599109200,48554750110300,48554750225600,48554750225600,0,1
48554766373700,48554906825800,48554906963900,48554906963900,0,1
48554920352400,48555082672400,48555082792200,48555082792200,0,1
48555107806300,48555254646800,48555254763800,48555254763800,0,1
48555266387800,48555427570300,48555427647500,48555427647500,0,1
48555448689000,48555622397800,48555622512900,48555622512900,0,1
48555640798300,48555807945000,48555808037200,48555808037200,0,1
48555821458000,48555975909300,48555976021600,48555976021600,0,1
48556001781400,48556178170100,48556178256300,48556178256300,0,1
48556196758000,48556367178700,48556367292000,48556367292000,0,1
48556391476300,48556549175000,48556549328200,48556549328200,0,1
48556571270200,48556743958600,48556744090000,48556744090000,0,1
48556758952000,48556913601600,48556913715500,48556913715500,0,1
48556940190000,48557114347600,48557114467500,48557114467500,0,1
48557134991300,48557303369600,48557303499700,48557303499700,0,1
48557321118900,48557478321800,48557478402000,48557478402000,0,1
48557502606900,48557659500100,48557659614400,48557659614400,0,1
48557681486700,48557829621300,48557829751000,48557829751000,0,1
48557848995400,48558005608300,48558005860400,48558005860400,0,1
48558038082000,48558196407500,48558196521900,48558196521900,0,1
