t_frame_ns,t_detect_ns,t_predict_ns,t_cmd_ns,had_meas,had_hint
4628380930800,4630654414100,4630655021500,4630655021500,0,0
4630665300400,4630755472500,4630755538000,4630755538000,0,0
4630761397000,4630849773600,4630849832700,4630849832700,0,0
4630859351500,4630954140600,4630954202100,4630954202100,0,0
4630963416100,4631054418700,4631054479100,4631054479100,0,0
4631060731500,4631152692600,4631152754900,4631152754900,0,0
4631164661900,4631255397400,4631255457600,4631255457600,0,0
4631261499500,4631350725600,4631350783500,4631350783500,0,0
4631359361100,4631449873500,4631449944400,4631449944400,0,0
4631456214600,4631546104400,4631546164500,4631546164500,0,0
4631553468700,4631644027100,4631644086600,4631644086600,0,0
4631651011900,4631741013900,4631741074500,4631741074500,0,0
4631748097200,4631839855300,4631839915800,4631839915800,0,0
4631852092500,4631942491800,4631942550400,4631942550400,0,0
4631949371200,4632039604000,4632039665100,4632039665100,0,0
4632046602500,4632136502600,4632136563200,4632136563200,0,0
4632143834400,4632233901600,4632233961500,4632233961500,0,0
4632240934900,4632329485900,4632329556000,4632329556000,0,0
4632337972500,4632425963500,4632426022100,4632426022100,0,0
4632430985600,4632520681700,4632520745800,4632520745800,0,0
4632525831200,4632615427300,4632615497200,4632615497200,0,0
4632622591600,4632712362700,4632712420700,4632712420700,0,0
4632720118200,4632809569700,4632809628900,4632809628900,0,0
4632817828800,4632907284700,4632907344500,4632907344500,0,0
4632914438900,4633002210800,4633002267600,4633002267600,0,0
4633011461300,4633100137300,4633100196600,4633100196600,0,0
4633108607800,4633196575400,4633196635200,4633196635200,0,0
4633205798400,4633294374500,4633294445900,4633294445900,0,0
4633303583300,4633391433700,4633391492900,4633391492900,0,0
4633400172400,4633487349300,4633487409900,4633487409900,0,0
4633497686700,4633585889800,4633585949500,4633585949500,0,0
4633594888700,4633684644000,4633684704300,4633684704300,0,0
4633692086700,4633780568800,4633780627100,4633780627100,0,0
4633790243500,4633881739600,4633881808200,4633881808200,0,0
4633893681000,4633981622000,4633981680200,4633981680200,0,0
4633990638800,4634078470200,4634078530000,4634078530000,0,0
4634088490100,4634176159600,4634176220100,4634176220100,0,0
4634181524900,4634269596900,4634269666100,4634269666100,0,0
4634275156600,4634364470400,4634364530200,4634364530200,0,0
4634372478200,4634460853300,4634460912300,4634460912300,0,0
4634465857700,4634554112200,4634554170500,4634554170500,0,0
4634560073800,4634648965000,4634649024000,4634649024000,0,0
4634657045600,4634746290900,4634746368100,4634746368100,0,0
4634755597900,4634845155900,4634845215100,4634845215100,0,0
4634852518000,4634941598600,4634941657600,4634941657600,0,0
4634949158100,4635038146700,4635038208400,4635038208400,0,0
4635046222600,4635134680300,4635134740600,4635134740600,0,0
4635143345400,4635231606700,4635231689900,4635231689900,0,0
4635241356900,4635329651300,4635329719900,4635329719900,0,0
4635338488200,4635426808400,4635426872700,4635426872700,0,0
4635435860700,4635524324200,4635524384400,4635524384400,0,0
4635532325100,4635620233800,4635620293100,4635620293100,0,0
4635629612800,4635719895300,4635719954700,4635719954700,0,0
4635726659000,4635814546900,4635814608100,4635814608100,0,0
4635831078500,4635921772800,4635921833100,4635921833100,0,0
4635926981500,4636014323600,4636014392500,4636014392500,0,0
4636019150400,4636106762400,4636106821100,4636106821100,0,0
4636116058300,4636204681100,4636204742200,4636204742200,0,0
4636209541800,4636297363000,4636297422600,4636297422600,0,0
4636303751900,4636392183300,4636392244700,4636392244700,0,0
4636400457500,4636488550500,4636488611100,4636488611100,0,0
4636497635600,4636585654000,4636585714300,4636585714300,0,0
4636594737000,4636682809300,4636682869200,4636682869200,0,0
4636693041300,4636781452200,4636781523600,4636781523600,0,0
4636789998100,4636877893900,4636877953700,4636877953700,0,0
4636887435300,4636974939300,4636974999400,4636974999400,0,0
4636984392600,4637072001700,4637072063100,4637072063100,0,0
4637081706000,4637170506400,4637170566900,4637170566900,0,0
4637178133500,4637266418700,4637266486800,4637266486800,0,0
4637275659400,4637364394100,4637364454200,4637364454200,0,0
4637372535600,4637461145600,4637461205400,4637461205400,0,0
4637470178100,4637557669400,4637557728200,4637557728200,0,0
4637568048900,4637656652100,4637656711200,4637656711200,0,0
4637666683200,4637754932300,4637754991500,4637754991500,0,0
4637761536100,4637849487600,4637849547800,4637849547800,0,0
4637859299200,4637950242300,4637950306300,4637950306300,0,0
4637956476200,4638044581100,4638044640600,4638044640600,0,0
4638053567400,4638142470200,4638142529500,4638142529500,0,0
4638150874900,4638238983500,4638239042900,4638239042900,0,0
4638247923200,4638336589300,4638336649500,4638336649500,0,0
4638345164300,4638434534600,4638434594300,4638434594300,0,0
4638442507800,4638530286900,4638530379800,4638530379800,0,0
4638539498400,4638628807900,4638628868100,4638628868100,0,0
4638636887300,4638725078200,4638725136800,4638725136800,0,0
4638734510600,4638822888700,4638822949200,4638822949200,0,0
4638831670600,4638921875200,4638921934900,4638921934900,0,0
4638928023200,4639016194200,4639016254400,4639016254400,0,0
4639025639900,4639115035600,4639115096500,4639115096500,0,0
4639122921800,4639211093000,4639211153000,4639211153000,0,0
4639220248200,4639307898300,4639307959600,4639307959600,0,0
4639317522000,4639406391200,4639406452400,4639406452400,0,0
4639414679700,4639502783400,4639502843800,4639502843800,0,0
4639511470100,4639599325600,4639599385400,4639599385400,0,0
4639609018900,4639696503000,4639696562400,4639696562400,0,0
4639706393300,4639794413100,4639794471800,4639794471800,0,0
4639803644600,4639891880500,4639891939000,4639891939000,0,0
4639900802400,4639990567300,4639990627200,4639990627200,0,0
4639998239100,4640085901100,4640085979700,4640085979700,0,0
4640095415300,4640182152000,4640182221000,4640182221000,0,0
4640192473400,4640279379600,4640279439500,4640279439500,0,0
4640289083500,4640375243600,4640375304700,4640375304700,0,0
4640386781800,4640473404000,4640473469700,4640473469700,0,0
4640484241900,4640570825100,4640570884800,4640570884800,0,0
4640581259400,4640667787300,4640667868700,4640667868700,0,0
4640678686000,4640765370500,4640765429600,4640765429600,0,0
4640775740700,4640862377100,4640862436500,4640862436500,0,0
4640872385100,4640958441500,4640958504300,4640958504300,0,0
4640970531900,4641056260100,4641056319000,4641056319000,0,0
4641067402300,4641152852100,4641152911800,4641152911800,0,0
4641157848400,4641243326100,4641243406700,4641243406700,0,0
4641254335700,4641340330200,4641340392400,4641340392400,0,0
4641352057500,4641438037400,4641438115700,4641438115700,0,0
4641449295700,4641535054700,4641535120100,4641535120100,0,0
4641546597000,4641632741400,4641632814000,4641632814000,0,0
4641643727200,4641729967200,4641730028300,4641730028300,0,0
4641741056400,4641826556300,4641826617300,4641826617300,0,0
4641837852000,4641924047700,4641924122800,4641924122800,0,0
4641935824100,4642023102400,4642023161500,4642023161500,0,0
4642032873400,4642119611000,4642119670100,4642119670100,0,0
4642129832200,4642215735600,4642215795900,4642215795900,0,0
4642227122400,4642312874600,4642312937600,4642312937600,0,0
4642323693400,4642410074500,4642410172100,4642410172100,0,0
